time,latitude,longitude,CRW_DHW,CRW_SST
UTC,degrees_north,degrees_east,Celsius weeks,Celsius
2015-01-01T12:00:00Z,-18.174997,147.42499,0.0,29.27
2015-01-02T12:00:00Z,-18.174997,147.42499,0.0,29.17
2015-01-03T12:00:00Z,-18.174997,147.42499,0.0,28.87
2015-01-04T12:00:00Z,-18.174997,147.42499,0.0,29.05
2015-01-05T12:00:00Z,-18.174997,147.42499,0.0,28.87
2015-01-06T12:00:00Z,-18.174997,147.42499,0.0,29.01
2015-01-07T12:00:00Z,-18.174997,147.42499,0.0,28.77
2015-01-08T12:00:00Z,-18.174997,147.42499,0.0,28.79
2015-01-09T12:00:00Z,-18.174997,147.42499,0.0,28.76
2015-01-10T12:00:00Z,-18.174997,147.42499,0.0,28.62
2015-01-11T12:00:00Z,-18.174997,147.42499,0.0,28.51
2015-01-12T12:00:00Z,-18.174997,147.42499,0.0,28.990000000000002
2015-01-13T12:00:00Z,-18.174997,147.42499,0.0,29.36
2015-01-14T12:00:00Z,-18.174997,147.42499,0.0,28.75
2015-01-15T12:00:00Z,-18.174997,147.42499,0.17,29.68
2015-01-16T12:00:00Z,-18.174997,147.42499,0.38,29.990000000000002
2015-01-17T12:00:00Z,-18.174997,147.42499,0.52,29.5
2015-01-18T12:00:00Z,-18.174997,147.42499,0.68,29.61
2015-01-19T12:00:00Z,-18.174997,147.42499,0.86,29.75
2015-01-20T12:00:00Z,-18.174997,147.42499,1.06,29.87
2015-01-21T12:00:00Z,-18.174997,147.42499,1.22,29.67
2015-01-22T12:00:00Z,-18.174997,147.42499,1.22,29.23
2015-01-23T12:00:00Z,-18.174997,147.42499,1.22,28.89
2015-01-24T12:00:00Z,-18.174997,147.42499,1.22,29.35
2015-01-25T12:00:00Z,-18.174997,147.42499,1.22,29.490000000000002
2015-01-26T12:00:00Z,-18.174997,147.42499,1.4,29.71
2015-01-27T12:00:00Z,-18.174997,147.42499,1.4,29.310000000000002
2015-01-28T12:00:00Z,-18.174997,147.42499,1.55,29.54
2015-01-29T12:00:00Z,-18.174997,147.42499,1.71,29.650000000000002
2015-01-30T12:00:00Z,-18.174997,147.42499,1.87,29.6
2015-01-31T12:00:00Z,-18.174997,147.42499,2.02,29.580000000000002
2015-02-01T12:00:00Z,-18.174997,147.42499,2.21,29.85
2015-02-02T12:00:00Z,-18.174997,147.42499,2.21,29.29
2015-02-03T12:00:00Z,-18.174997,147.42499,2.37,29.57
2015-02-04T12:00:00Z,-18.174997,147.42499,2.51,29.51
2015-02-05T12:00:00Z,-18.174997,147.42499,2.51,29.48
2015-02-06T12:00:00Z,-18.174997,147.42499,2.51,29.36
2015-02-07T12:00:00Z,-18.174997,147.42499,2.51,29.16
2015-02-08T12:00:00Z,-18.174997,147.42499,2.51,28.900000000000002
2015-02-09T12:00:00Z,-18.174997,147.42499,2.51,28.93
2015-02-10T12:00:00Z,-18.174997,147.42499,2.51,28.650000000000002
2015-02-11T12:00:00Z,-18.174997,147.42499,2.51,28.84
2015-02-12T12:00:00Z,-18.174997,147.42499,2.51,28.740000000000002
2015-02-13T12:00:00Z,-18.174997,147.42499,2.51,28.75
2015-02-14T12:00:00Z,-18.174997,147.42499,2.51,28.23
2015-02-15T12:00:00Z,-18.174997,147.42499,2.51,28.36
2015-02-16T12:00:00Z,-18.174997,147.42499,2.51,28.09
2015-02-17T12:00:00Z,-18.174997,147.42499,2.51,28.22
