time,latitude,longitude,CRW_DHW,CRW_SST
UTC,degrees_north,degrees_east,Celsius weeks,Celsius
2008-01-01T12:00:00Z,-18.174997,147.42499,0.0,28.66
2008-01-02T12:00:00Z,-18.174997,147.42499,0.0,28.86
2008-01-03T12:00:00Z,-18.174997,147.42499,0.0,28.93
2008-01-04T12:00:00Z,-18.174997,147.42499,0.0,29.310000000000002
2008-01-05T12:00:00Z,-18.174997,147.42499,0.0,29.32
2008-01-06T12:00:00Z,-18.174997,147.42499,0.0,29.34
2008-01-07T12:00:00Z,-18.174997,147.42499,0.0,29.21
2008-01-08T12:00:00Z,-18.174997,147.42499,0.0,29.19
2008-01-09T12:00:00Z,-18.174997,147.42499,0.0,29.01
2008-01-10T12:00:00Z,-18.174997,147.42499,0.0,29.07
2008-01-11T12:00:00Z,-18.174997,147.42499,0.0,28.88
2008-01-12T12:00:00Z,-18.174997,147.42499,0.0,28.85
2008-01-13T12:00:00Z,-18.174997,147.42499,0.0,29.060000000000002
2008-01-14T12:00:00Z,-18.174997,147.42499,0.0,28.94
2008-01-15T12:00:00Z,-18.174997,147.42499,0.0,28.57
2008-01-16T12:00:00Z,-18.174997,147.42499,0.0,29.09
2008-01-17T12:00:00Z,-18.174997,147.42499,0.15,29.560000000000002
2008-01-18T12:00:00Z,-18.174997,147.42499,0.31,29.59
2008-01-19T12:00:00Z,-18.174997,147.42499,0.31,29.34
2008-01-20T12:00:00Z,-18.174997,147.42499,0.31,29.46
2008-01-21T12:00:00Z,-18.174997,147.42499,0.31,29.28
2008-01-22T12:00:00Z,-18.174997,147.42499,0.31,28.97
2008-01-23T12:00:00Z,-18.174997,147.42499,0.31,28.86
2008-01-24T12:00:00Z,-18.174997,147.42499,0.31,28.61
2008-01-25T12:00:00Z,-18.174997,147.42499,0.31,28.53
2008-01-26T12:00:00Z,-18.174997,147.42499,0.31,28.67
2008-01-27T12:00:00Z,-18.174997,147.42499,0.31,28.77
2008-01-28T12:00:00Z,-18.174997,147.42499,0.31,28.830000000000002
2008-01-29T12:00:00Z,-18.174997,147.42499,0.31,28.8
2008-01-30T12:00:00Z,-18.174997,147.42499,0.31,28.91
2008-01-31T12:00:00Z,-18.174997,147.42499,0.31,28.92
2008-02-01T12:00:00Z,-18.174997,147.42499,0.31,28.77
2008-02-02T12:00:00Z,-18.174997,147.42499,0.31,28.93
2008-02-03T12:00:00Z,-18.174997,147.42499,0.31,28.68
2008-02-04T12:00:00Z,-18.174997,147.42499,0.31,28.61
2008-02-05T12:00:00Z,-18.174997,147.42499,0.31,28.76
2008-02-06T12:00:00Z,-18.174997,147.42499,0.31,29.38
2008-02-07T12:00:00Z,-18.174997,147.42499,0.31,29.28
2008-02-08T12:00:00Z,-18.174997,147.42499,0.31,29.29
2008-02-09T12:00:00Z,-18.174997,147.42499,0.31,29.32
2008-02-10T12:00:00Z,-18.174997,147.42499,0.45,29.52
2008-02-11T12:00:00Z,-18.174997,147.42499,0.45,28.75
2008-02-12T12:00:00Z,-18.174997,147.42499,0.45,28.73
2008-02-13T12:00:00Z,-18.174997,147.42499,0.45,29.0
2008-02-14T12:00:00Z,-18.174997,147.42499,0.45,28.88
2008-02-15T12:00:00Z,-18.174997,147.42499,0.45,28.79
2008-02-16T12:00:00Z,-18.174997,147.42499,0.45,28.8
2008-02-17T12:00:00Z,-18.174997,147.42499,0.45,28.66
2008-02-18T12:00:00Z,-18.174997,147.42499,0.45,28.490000000000002
2008-02-19T12:00:00Z,-18.174997,147.42499,0.45,28.35
2008-02-20T12:00:00Z,-18.174997,147.42499,0.45,28.22
2008-02-21T12:00:00Z,-18.174997,147.42499,0.45,27.85
2008-02-22T12:00:00Z,-18.174997,147.42499,0.45,28.66
2008-02-23T12:00:00Z,-18.174997,147.42499,0.45,28.900000000000002
2008-02-24T12:00:00Z,-18.174997,147.42499,0.45,28.900000000000002
2008-02-25T12:00:00Z,-18.174997,147.42499,0.45,28.76
2008-02-26T12:00:00Z,-18.174997,147.42499,0.45,28.61
2008-02-27T12:00:00Z,-18.174997,147.42499,0.45,28.48
2008-02-28T12:00:00Z,-18.174997,147.42499,0.45,28.44
2008-02-29T12:00:00Z,-18.174997,147.42499,0.45,28.26
2008-03-01T12:00:00Z,-18.174997,147.42499,0.45,28.32
2008-03-02T12:00:00Z,-18.174997,147.42499,0.45,28.18
2008-03-03T12:00:00Z,-18.174997,147.42499,0.45,28.27
2008-03-04T12:00:00Z,-18.174997,147.42499,0.45,28.11
2008-03-05T12:00:00Z,-18.174997,147.42499,0.45,27.57
2008-03-06T12:00:00Z,-18.174997,147.42499,0.45,27.310000000000002
2008-03-07T12:00:00Z,-18.174997,147.42499,0.45,27.310000000000002
2008-03-08T12:00:00Z,-18.174997,147.42499,0.45,27.32
2008-03-09T12:00:00Z,-18.174997,147.42499,0.45,27.35
2008-03-10T12:00:00Z,-18.174997,147.42499,0.45,27.25
2008-03-11T12:00:00Z,-18.174997,147.42499,0.45,27.29
2008-03-12T12:00:00Z,-18.174997,147.42499,0.45,27.14
2008-03-13T12:00:00Z,-18.174997,147.42499,0.45,27.080000000000002
2008-03-14T12:00:00Z,-18.174997,147.42499,0.45,27.18
2008-03-15T12:00:00Z,-18.174997,147.42499,0.45,27.01
2008-03-16T12:00:00Z,-18.174997,147.42499,0.45,27.060000000000002
2008-03-17T12:00:00Z,-18.174997,147.42499,0.45,26.94
2008-03-18T12:00:00Z,-18.174997,147.42499,0.45,27.21
2008-03-19T12:00:00Z,-18.174997,147.42499,0.45,27.01
2008-03-20T12:00:00Z,-18.174997,147.42499,0.45,27.23
2008-03-21T12:00:00Z,-18.174997,147.42499,0.45,27.3
2008-03-22T12:00:00Z,-18.174997,147.42499,0.45,27.3
2008-03-23T12:00:00Z,-18.174997,147.42499,0.45,27.560000000000002
2008-03-24T12:00:00Z,-18.174997,147.42499,0.45,27.53
2008-03-25T12:00:00Z,-18.174997,147.42499,0.45,27.6
2008-03-26T12:00:00Z,-18.174997,147.42499,0.45,27.76
2008-03-27T12:00:00Z,-18.174997,147.42499,0.45,27.3
2008-03-28T12:00:00Z,-18.174997,147.42499,0.45,27.78
2008-03-29T12:00:00Z,-18.174997,147.42499,0.45,27.900000000000002
2008-03-30T12:00:00Z,-18.174997,147.42499,0.45,27.76
2008-03-31T12:00:00Z,-18.174997,147.42499,0.45,27.29
2008-04-01T12:00:00Z,-18.174997,147.42499,0.45,27.2
2008-04-02T12:00:00Z,-18.174997,147.42499,0.45,26.91
2008-04-03T12:00:00Z,-18.174997,147.42499,0.45,27.17
2008-04-04T12:00:00Z,-18.174997,147.42499,0.45,27.26
2008-04-05T12:00:00Z,-18.174997,147.42499,0.45,27.03
2008-04-06T12:00:00Z,-18.174997,147.42499,0.45,26.95
2008-04-07T12:00:00Z,-18.174997,147.42499,0.45,26.96
2008-04-08T12:00:00Z,-18.174997,147.42499,0.45,26.91
2008-04-09T12:00:00Z,-18.174997,147.42499,0.45,27.01
2008-04-10T12:00:00Z,-18.174997,147.42499,0.3,26.82
2008-04-11T12:00:00Z,-18.174997,147.42499,0.15,26.59
2008-04-12T12:00:00Z,-18.174997,147.42499,0.15,26.52
2008-04-13T12:00:00Z,-18.174997,147.42499,0.15,26.51
2008-04-14T12:00:00Z,-18.174997,147.42499,0.15,26.560000000000002
2008-04-15T12:00:00Z,-18.174997,147.42499,0.15,26.400000000000002
2008-04-16T12:00:00Z,-18.174997,147.42499,0.15,26.46
2008-04-17T12:00:00Z,-18.174997,147.42499,0.15,26.28
2008-04-18T12:00:00Z,-18.174997,147.42499,0.15,26.19
2008-04-19T12:00:00Z,-18.174997,147.42499,0.15,26.04
2008-04-20T12:00:00Z,-18.174997,147.42499,0.15,26.05
2008-04-21T12:00:00Z,-18.174997,147.42499,0.15,25.94
2008-04-22T12:00:00Z,-18.174997,147.42499,0.15,26.23
2008-04-23T12:00:00Z,-18.174997,147.42499,0.15,26.16
2008-04-24T12:00:00Z,-18.174997,147.42499,0.15,26.19
2008-04-25T12:00:00Z,-18.174997,147.42499,0.15,25.740000000000002
2008-04-26T12:00:00Z,-18.174997,147.42499,0.15,26.05
2008-04-27T12:00:00Z,-18.174997,147.42499,0.15,26.07
2008-04-28T12:00:00Z,-18.174997,147.42499,0.15,26.17
2008-04-29T12:00:00Z,-18.174997,147.42499,0.15,26.13
2008-04-30T12:00:00Z,-18.174997,147.42499,0.15,25.91
2008-05-01T12:00:00Z,-18.174997,147.42499,0.15,25.94
2008-05-02T12:00:00Z,-18.174997,147.42499,0.15,25.92
2008-05-03T12:00:00Z,-18.174997,147.42499,0.15,25.97
2008-05-04T12:00:00Z,-18.174997,147.42499,0.0,25.740000000000002
2008-05-05T12:00:00Z,-18.174997,147.42499,0.0,25.43
2008-05-06T12:00:00Z,-18.174997,147.42499,0.0,25.5
2008-05-07T12:00:00Z,-18.174997,147.42499,0.0,25.47
2008-05-08T12:00:00Z,-18.174997,147.42499,0.0,25.650000000000002
2008-05-09T12:00:00Z,-18.174997,147.42499,0.0,25.35
2008-05-10T12:00:00Z,-18.174997,147.42499,0.0,25.32
2008-05-11T12:00:00Z,-18.174997,147.42499,0.0,25.29
2008-05-12T12:00:00Z,-18.174997,147.42499,0.0,25.27
2008-05-13T12:00:00Z,-18.174997,147.42499,0.0,25.26
2008-05-14T12:00:00Z,-18.174997,147.42499,0.0,25.23
2008-05-15T12:00:00Z,-18.174997,147.42499,0.0,25.27
2008-05-16T12:00:00Z,-18.174997,147.42499,0.0,25.34
2008-05-17T12:00:00Z,-18.174997,147.42499,0.0,25.5
2008-05-18T12:00:00Z,-18.174997,147.42499,0.0,25.32
2008-05-19T12:00:00Z,-18.174997,147.42499,0.0,24.96
2008-05-20T12:00:00Z,-18.174997,147.42499,0.0,24.830000000000002
2008-05-21T12:00:00Z,-18.174997,147.42499,0.0,24.78
2008-05-22T12:00:00Z,-18.174997,147.42499,0.0,24.59
2008-05-23T12:00:00Z,-18.174997,147.42499,0.0,24.88
2008-05-24T12:00:00Z,-18.174997,147.42499,0.0,24.82
2008-05-25T12:00:00Z,-18.174997,147.42499,0.0,25.01
2008-05-26T12:00:00Z,-18.174997,147.42499,0.0,25.060000000000002
2008-05-27T12:00:00Z,-18.174997,147.42499,0.0,24.84
2008-05-28T12:00:00Z,-18.174997,147.42499,0.0,24.85
2008-05-29T12:00:00Z,-18.174997,147.42499,0.0,24.75
2008-05-30T12:00:00Z,-18.174997,147.42499,0.0,24.36
2008-05-31T12:00:00Z,-18.174997,147.42499,0.0,24.54
2008-06-01T12:00:00Z,-18.174997,147.42499,0.0,24.93
2008-06-02T12:00:00Z,-18.174997,147.42499,0.0,25.03
2008-06-03T12:00:00Z,-18.174997,147.42499,0.0,24.89
2008-06-04T12:00:00Z,-18.174997,147.42499,0.0,24.84
2008-06-05T12:00:00Z,-18.174997,147.42499,0.0,24.98
2008-06-06T12:00:00Z,-18.174997,147.42499,0.0,24.96
2008-06-07T12:00:00Z,-18.174997,147.42499,0.0,24.84
2008-06-08T12:00:00Z,-18.174997,147.42499,0.0,24.990000000000002
2008-06-09T12:00:00Z,-18.174997,147.42499,0.0,24.78
2008-06-10T12:00:00Z,-18.174997,147.42499,0.0,24.77
2008-06-11T12:00:00Z,-18.174997,147.42499,0.0,24.78
2008-06-12T12:00:00Z,-18.174997,147.42499,0.0,24.71
2008-06-13T12:00:00Z,-18.174997,147.42499,0.0,24.8
2008-06-14T12:00:00Z,-18.174997,147.42499,0.0,24.76
2008-06-15T12:00:00Z,-18.174997,147.42499,0.0,24.76
2008-06-16T12:00:00Z,-18.174997,147.42499,0.0,24.45
2008-06-17T12:00:00Z,-18.174997,147.42499,0.0,24.37
2008-06-18T12:00:00Z,-18.174997,147.42499,0.0,24.5
2008-06-19T12:00:00Z,-18.174997,147.42499,0.0,24.54
2008-06-20T12:00:00Z,-18.174997,147.42499,0.0,24.87
2008-06-21T12:00:00Z,-18.174997,147.42499,0.0,24.64
2008-06-22T12:00:00Z,-18.174997,147.42499,0.0,24.69
2008-06-23T12:00:00Z,-18.174997,147.42499,0.0,24.560000000000002
2008-06-24T12:00:00Z,-18.174997,147.42499,0.0,24.38
2008-06-25T12:00:00Z,-18.174997,147.42499,0.0,24.1
2008-06-26T12:00:00Z,-18.174997,147.42499,0.0,24.01
2008-06-27T12:00:00Z,-18.174997,147.42499,0.0,23.95
2008-06-28T12:00:00Z,-18.174997,147.42499,0.0,23.88
2008-06-29T12:00:00Z,-18.174997,147.42499,0.0,23.76
2008-06-30T12:00:00Z,-18.174997,147.42499,0.0,23.79
2008-07-01T12:00:00Z,-18.174997,147.42499,0.0,23.94
2008-07-02T12:00:00Z,-18.174997,147.42499,0.0,23.97
2008-07-03T12:00:00Z,-18.174997,147.42499,0.0,23.93
2008-07-04T12:00:00Z,-18.174997,147.42499,0.0,23.97
2008-07-05T12:00:00Z,-18.174997,147.42499,0.0,24.01
2008-07-06T12:00:00Z,-18.174997,147.42499,0.0,24.03
2008-07-07T12:00:00Z,-18.174997,147.42499,0.0,23.91
2008-07-08T12:00:00Z,-18.174997,147.42499,0.0,23.830000000000002
2008-07-09T12:00:00Z,-18.174997,147.42499,0.0,23.77
2008-07-10T12:00:00Z,-18.174997,147.42499,0.0,23.830000000000002
2008-07-11T12:00:00Z,-18.174997,147.42499,0.0,23.75
2008-07-12T12:00:00Z,-18.174997,147.42499,0.0,23.62
2008-07-13T12:00:00Z,-18.174997,147.42499,0.0,23.650000000000002
2008-07-14T12:00:00Z,-18.174997,147.42499,0.0,23.72
2008-07-15T12:00:00Z,-18.174997,147.42499,0.0,23.76
2008-07-16T12:00:00Z,-18.174997,147.42499,0.0,23.8
2008-07-17T12:00:00Z,-18.174997,147.42499,0.0,23.68
2008-07-18T12:00:00Z,-18.174997,147.42499,0.0,23.93
2008-07-19T12:00:00Z,-18.174997,147.42499,0.0,23.89
2008-07-20T12:00:00Z,-18.174997,147.42499,0.0,24.01
2008-07-21T12:00:00Z,-18.174997,147.42499,0.0,24.32
2008-07-22T12:00:00Z,-18.174997,147.42499,0.0,24.490000000000002
2008-07-23T12:00:00Z,-18.174997,147.42499,0.0,24.14
2008-07-24T12:00:00Z,-18.174997,147.42499,0.0,23.98
2008-07-25T12:00:00Z,-18.174997,147.42499,0.0,23.69
2008-07-26T12:00:00Z,-18.174997,147.42499,0.0,23.37
2008-07-27T12:00:00Z,-18.174997,147.42499,0.0,23.43
2008-07-28T12:00:00Z,-18.174997,147.42499,0.0,23.740000000000002
2008-07-29T12:00:00Z,-18.174997,147.42499,0.0,23.650000000000002
2008-07-30T12:00:00Z,-18.174997,147.42499,0.0,23.61
2008-07-31T12:00:00Z,-18.174997,147.42499,0.0,23.68
2008-08-01T12:00:00Z,-18.174997,147.42499,0.0,23.51
2008-08-02T12:00:00Z,-18.174997,147.42499,0.0,23.69
2008-08-03T12:00:00Z,-18.174997,147.42499,0.0,23.93
2008-08-04T12:00:00Z,-18.174997,147.42499,0.0,23.66
2008-08-05T12:00:00Z,-18.174997,147.42499,0.0,23.41
2008-08-06T12:00:00Z,-18.174997,147.42499,0.0,23.59
2008-08-07T12:00:00Z,-18.174997,147.42499,0.0,23.650000000000002
2008-08-08T12:00:00Z,-18.174997,147.42499,0.0,23.59
2008-08-09T12:00:00Z,-18.174997,147.42499,0.0,23.61
2008-08-10T12:00:00Z,-18.174997,147.42499,0.0,23.79
2008-08-11T12:00:00Z,-18.174997,147.42499,0.0,23.98
2008-08-12T12:00:00Z,-18.174997,147.42499,0.0,23.7
2008-08-13T12:00:00Z,-18.174997,147.42499,0.0,23.39
2008-08-14T12:00:00Z,-18.174997,147.42499,0.0,23.54
2008-08-15T12:00:00Z,-18.174997,147.42499,0.0,23.46
2008-08-16T12:00:00Z,-18.174997,147.42499,0.0,23.39
2008-08-17T12:00:00Z,-18.174997,147.42499,0.0,23.37
2008-08-18T12:00:00Z,-18.174997,147.42499,0.0,23.080000000000002
2008-08-19T12:00:00Z,-18.174997,147.42499,0.0,23.37
2008-08-20T12:00:00Z,-18.174997,147.42499,0.0,23.56
2008-08-21T12:00:00Z,-18.174997,147.42499,0.0,23.5
2008-08-22T12:00:00Z,-18.174997,147.42499,0.0,24.03
2008-08-23T12:00:00Z,-18.174997,147.42499,0.0,23.97
2008-08-24T12:00:00Z,-18.174997,147.42499,0.0,23.900000000000002
2008-08-25T12:00:00Z,-18.174997,147.42499,0.0,23.51
2008-08-26T12:00:00Z,-18.174997,147.42499,0.0,23.57
2008-08-27T12:00:00Z,-18.174997,147.42499,0.0,23.86
2008-08-28T12:00:00Z,-18.174997,147.42499,0.0,23.89
2008-08-29T12:00:00Z,-18.174997,147.42499,0.0,23.93
2008-08-30T12:00:00Z,-18.174997,147.42499,0.0,24.25
2008-08-31T12:00:00Z,-18.174997,147.42499,0.0,24.39
