year,month,day,latitude,longitude,dhw,sst
1992,1,1,17.175,-87.325,0.0,26.34
1992,1,2,17.175,-87.325,0.0,26.53
1992,1,3,17.175,-87.325,0.0,26.23
1992,1,4,17.175,-87.325,0.0,26.22
1992,1,5,17.175,-87.325,0.0,26.060000000000002
1992,1,6,17.175,-87.325,0.0,26.01
1992,1,7,17.175,-87.325,0.0,26.09
1992,1,8,17.175,-87.325,0.0,26.17
1992,1,9,17.175,-87.325,0.0,26.28
1992,1,10,17.175,-87.325,0.0,26.32
1992,1,11,17.175,-87.325,0.0,26.88
1992,1,12,17.175,-87.325,0.0,27.34
1992,1,13,17.175,-87.325,0.0,27.080000000000002
1992,1,14,17.175,-87.325,0.0,26.61
1992,1,15,17.175,-87.325,0.0,26.13
1992,1,16,17.175,-87.325,0.0,25.93
1992,1,17,17.175,-87.325,0.0,25.89
1992,1,18,17.175,-87.325,0.0,25.53
1992,1,19,17.175,-87.325,0.0,25.75
1992,1,20,17.175,-87.325,0.0,26.02
1992,1,21,17.175,-87.325,0.0,26.11
1992,1,22,17.175,-87.325,0.0,26.17
1992,1,23,17.175,-87.325,0.0,26.34
1992,1,24,17.175,-87.325,0.0,26.54
1992,1,25,17.175,-87.325,0.0,26.6
1992,1,26,17.175,-87.325,0.0,25.57
1992,1,27,17.175,-87.325,0.0,26.54
1992,1,28,17.175,-87.325,0.0,26.8
1992,1,29,17.175,-87.325,0.0,26.76
1992,1,30,17.175,-87.325,0.0,26.72
1992,1,31,17.175,-87.325,0.0,26.73
1992,2,1,17.175,-87.325,0.0,26.89
1992,2,2,17.175,-87.325,0.0,26.87
1992,2,3,17.175,-87.325,0.0,27.02
1992,2,4,17.175,-87.325,0.0,27.27
1992,2,5,17.175,-87.325,0.0,27.54
1992,2,6,17.175,-87.325,0.0,27.82
1992,2,7,17.175,-87.325,0.0,27.55
1992,2,8,17.175,-87.325,0.0,26.650000000000002
1992,2,9,17.175,-87.325,0.0,26.36
1992,2,10,17.175,-87.325,0.0,26.09
1992,2,11,17.175,-87.325,0.0,26.490000000000002
1992,2,12,17.175,-87.325,0.0,26.26
1992,2,13,17.175,-87.325,0.0,26.39
1992,2,14,17.175,-87.325,0.0,26.560000000000002
1992,2,15,17.175,-87.325,0.0,26.6
1992,2,16,17.175,-87.325,0.0,26.7
1992,2,17,17.175,-87.325,0.0,26.68
1992,2,18,17.175,-87.325,0.0,26.5
1992,2,19,17.175,-87.325,0.0,26.22
1992,2,20,17.175,-87.325,0.0,26.27
1992,2,21,17.175,-87.325,0.0,26.37
1992,2,22,17.175,-87.325,0.0,26.55
1992,2,23,17.175,-87.325,0.0,26.53
1992,2,24,17.175,-87.325,0.0,26.66
1992,2,25,17.175,-87.325,0.0,26.52
1992,2,26,17.175,-87.325,0.0,26.63
1992,2,27,17.175,-87.325,0.0,26.650000000000002
1992,2,28,17.175,-87.325,0.0,26.73
1992,2,29,17.175,-87.325,0.0,26.7
1992,3,1,17.175,-87.325,0.0,26.310000000000002
1992,3,2,17.175,-87.325,0.0,26.27
1992,3,3,17.175,-87.325,0.0,26.43
1992,3,4,17.175,-87.325,0.0,26.35
1992,3,5,17.175,-87.325,0.0,26.240000000000002
1992,3,6,17.175,-87.325,0.0,26.35
1992,3,7,17.175,-87.325,0.0,26.580000000000002
1992,3,8,17.175,-87.325,0.0,26.66
1992,3,9,17.175,-87.325,0.0,26.77
1992,3,10,17.175,-87.325,0.0,26.42
1992,3,11,17.175,-87.325,0.0,26.48
1992,3,12,17.175,-87.325,0.0,26.400000000000002
1992,3,13,17.175,-87.325,0.0,26.400000000000002
1992,3,14,17.175,-87.325,0.0,26.25
1992,3,15,17.175,-87.325,0.0,26.650000000000002
1992,3,16,17.175,-87.325,0.0,26.66
1992,3,17,17.175,-87.325,0.0,26.400000000000002
1992,3,18,17.175,-87.325,0.0,26.64
1992,3,19,17.175,-87.325,0.0,26.68
1992,3,20,17.175,-87.325,0.0,26.85
1992,3,21,17.175,-87.325,0.0,26.53
1992,3,22,17.175,-87.325,0.0,26.54
1992,3,23,17.175,-87.325,0.0,26.580000000000002
1992,3,24,17.175,-87.325,0.0,26.46
1992,3,25,17.175,-87.325,0.0,26.66
1992,3,26,17.175,-87.325,0.0,27.0
1992,3,27,17.175,-87.325,0.0,26.94
1992,3,28,17.175,-87.325,0.0,26.580000000000002
1992,3,29,17.175,-87.325,0.0,26.150000000000002
1992,3,30,17.175,-87.325,0.0,26.54
1992,3,31,17.175,-87.325,0.0,26.86
1992,4,1,17.175,-87.325,0.0,27.17
1992,4,2,17.175,-87.325,0.0,27.23
1992,4,3,17.175,-87.325,0.0,27.25
1992,4,4,17.175,-87.325,0.0,26.68
1992,4,5,17.175,-87.325,0.0,26.810000000000002
1992,4,6,17.175,-87.325,0.0,27.12
1992,4,7,17.175,-87.325,0.0,27.310000000000002
1992,4,8,17.175,-87.325,0.0,27.13
