year,month,day,latitude,longitude,dhw,sst
2014,1,1,-18.175,147.425,0.0,28.48
2014,1,2,-18.175,147.425,0.0,28.47
2014,1,3,-18.175,147.425,0.0,28.97
2014,1,4,-18.175,147.425,0.0,29.38
2014,1,5,-18.175,147.425,0.0,29.25
2014,1,6,-18.175,147.425,0.0,29.240000000000002
2014,1,7,-18.175,147.425,0.0,29.240000000000002
2014,1,8,-18.175,147.425,0.0,29.23
2014,1,9,-18.175,147.425,0.0,29.11
2014,1,10,-18.175,147.425,0.0,28.79
2014,1,11,-18.175,147.425,0.0,28.63
2014,1,12,-18.175,147.425,0.0,28.6
2014,1,13,-18.175,147.425,0.0,28.59
2014,1,14,-18.175,147.425,0.0,28.55
2014,1,15,-18.175,147.425,0.0,28.23
2014,1,16,-18.175,147.425,0.0,28.23
2014,1,17,-18.175,147.425,0.0,28.55
2014,1,18,-18.175,147.425,0.0,28.5
2014,1,19,-18.175,147.425,0.0,28.310000000000002
2014,1,20,-18.175,147.425,0.0,28.57
2014,1,21,-18.175,147.425,0.0,28.95
2014,1,22,-18.175,147.425,0.0,28.8
2014,1,23,-18.175,147.425,0.0,28.810000000000002
2014,1,24,-18.175,147.425,0.0,28.69
2014,1,25,-18.175,147.425,0.0,28.47
2014,1,26,-18.175,147.425,0.0,28.52
2014,1,27,-18.175,147.425,0.0,28.69
2014,1,28,-18.175,147.425,0.0,28.54
2014,1,29,-18.175,147.425,0.0,28.57
2014,1,30,-18.175,147.425,0.0,27.97
2014,1,31,-18.175,147.425,0.0,28.42
2014,2,1,-18.175,147.425,0.0,28.45
2014,2,2,-18.175,147.425,0.0,28.53
2014,2,3,-18.175,147.425,0.0,28.36
2014,2,4,-18.175,147.425,0.0,28.25
2014,2,5,-18.175,147.425,0.0,28.17
2014,2,6,-18.175,147.425,0.0,27.94
2014,2,7,-18.175,147.425,0.0,27.89
2014,2,8,-18.175,147.425,0.0,27.990000000000002
2014,2,9,-18.175,147.425,0.0,28.25
2014,2,10,-18.175,147.425,0.0,28.41
2014,2,11,-18.175,147.425,0.0,28.19
2014,2,12,-18.175,147.425,0.0,28.17
2014,2,13,-18.175,147.425,0.0,28.060000000000002
2014,2,14,-18.175,147.425,0.0,28.38
2014,2,15,-18.175,147.425,0.0,28.43
2014,2,16,-18.175,147.425,0.0,28.29
2014,2,17,-18.175,147.425,0.0,28.39
2014,2,18,-18.175,147.425,0.0,28.51
2014,2,19,-18.175,147.425,0.0,28.400000000000002
2014,2,20,-18.175,147.425,0.0,28.69
2014,2,21,-18.175,147.425,0.0,28.8
2014,2,22,-18.175,147.425,0.0,28.6
2014,2,23,-18.175,147.425,0.0,28.62
2014,2,24,-18.175,147.425,0.0,28.46
2014,2,25,-18.175,147.425,0.0,28.68
2014,2,26,-18.175,147.425,0.0,28.52
2014,2,27,-18.175,147.425,0.0,28.36
2014,2,28,-18.175,147.425,0.0,28.25
2014,3,1,-18.175,147.425,0.0,28.26
2014,3,2,-18.175,147.425,0.0,28.42
2014,3,3,-18.175,147.425,0.0,28.38
2014,3,4,-18.175,147.425,0.0,28.17
2014,3,5,-18.175,147.425,0.0,28.38
2014,3,6,-18.175,147.425,0.0,28.400000000000002
2014,3,7,-18.175,147.425,0.0,28.25
2014,3,8,-18.175,147.425,0.0,28.0
2014,3,9,-18.175,147.425,0.0,28.0
2014,3,10,-18.175,147.425,0.0,28.060000000000002
2014,3,11,-18.175,147.425,0.0,27.36
2014,3,12,-18.175,147.425,0.0,27.19
2014,3,13,-18.175,147.425,0.0,27.38
2014,3,14,-18.175,147.425,0.0,27.12
2014,3,15,-18.175,147.425,0.0,27.310000000000002
2014,3,16,-18.175,147.425,0.0,27.39
2014,3,17,-18.175,147.425,0.0,27.76
2014,3,18,-18.175,147.425,0.0,27.63
2014,3,19,-18.175,147.425,0.0,27.400000000000002
2014,3,20,-18.175,147.425,0.0,27.46
2014,3,21,-18.175,147.425,0.0,27.61
2014,3,22,-18.175,147.425,0.0,27.61
2014,3,23,-18.175,147.425,0.0,27.59
2014,3,24,-18.175,147.425,0.0,27.47
2014,3,25,-18.175,147.425,0.0,27.21
2014,3,26,-18.175,147.425,0.0,27.3
2014,3,27,-18.175,147.425,0.0,27.53
2014,3,28,-18.175,147.425,0.0,27.830000000000002
2014,3,29,-18.175,147.425,0.0,27.96
2014,3,30,-18.175,147.425,0.0,27.88
2014,3,31,-18.175,147.425,0.0,27.740000000000002
2014,4,1,-18.175,147.425,0.0,27.55
2014,4,2,-18.175,147.425,0.0,27.62
2014,4,3,-18.175,147.425,0.0,27.43
2014,4,4,-18.175,147.425,0.0,27.41
2014,4,5,-18.175,147.425,0.0,27.43
2014,4,6,-18.175,147.425,0.0,26.98
2014,4,7,-18.175,147.425,0.0,27.53
2014,4,8,-18.175,147.425,0.0,27.53
2014,4,9,-18.175,147.425,0.0,27.39
2014,4,10,-18.175,147.425,0.0,27.39
2014,4,11,-18.175,147.425,0.0,27.53
2014,4,12,-18.175,147.425,0.0,27.3
2014,4,13,-18.175,147.425,0.0,27.27
2014,4,14,-18.175,147.425,0.0,27.060000000000002
2014,4,15,-18.175,147.425,0.0,27.27
2014,4,16,-18.175,147.425,0.0,27.240000000000002
2014,4,17,-18.175,147.425,0.0,27.39
2014,4,18,-18.175,147.425,0.0,27.27
2014,4,19,-18.175,147.425,0.0,27.330000000000002
2014,4,20,-18.175,147.425,0.0,27.26
2014,4,21,-18.175,147.425,0.0,27.39
2014,4,22,-18.175,147.425,0.0,26.88
