year,month,day,latitude,longitude,dhw,sst
1987,1,1,32.525,24.825,0.0,16.97
1987,1,2,32.525,24.825,0.0,17.05
1987,1,3,32.525,24.825,0.0,17.14
1987,1,4,32.525,24.825,0.0,17.03
1987,1,5,32.525,24.825,0.0,16.72
1987,1,6,32.525,24.825,0.0,16.18
1987,1,7,32.525,24.825,0.0,16.22
1987,1,8,32.525,24.825,0.0,16.27
1987,1,9,32.525,24.825,0.0,16.41
1987,1,10,32.525,24.825,0.0,16.14
1987,1,11,32.525,24.825,0.0,16.41
1987,1,12,32.525,24.825,0.0,16.36
1987,1,13,32.525,24.825,0.0,16.42
1987,1,14,32.525,24.825,0.0,16.42
1987,1,15,32.525,24.825,0.0,16.61
1987,1,16,32.525,24.825,0.0,16.85
1987,1,17,32.525,24.825,0.0,16.95
1987,1,18,32.525,24.825,0.0,17.07
1987,1,19,32.525,24.825,0.0,17.05
1987,1,20,32.525,24.825,0.0,17.11
1987,1,21,32.525,24.825,0.0,16.95
1987,1,22,32.525,24.825,0.0,16.78
1987,1,23,32.525,24.825,0.0,16.71
1987,1,24,32.525,24.825,0.0,16.43
1987,1,25,32.525,24.825,0.0,16.240000000000002
1987,1,26,32.525,24.825,0.0,16.35
1987,1,27,32.525,24.825,0.0,16.9
1987,1,28,32.525,24.825,0.0,16.64
1987,1,29,32.525,24.825,0.0,16.64
1987,1,30,32.525,24.825,0.0,16.53
1987,1,31,32.525,24.825,0.0,16.7
1987,2,1,32.525,24.825,0.0,16.26
1987,2,2,32.525,24.825,0.0,16.04
1987,2,3,32.525,24.825,0.0,15.93
1987,2,4,32.525,24.825,0.0,15.96
1987,2,5,32.525,24.825,0.0,16.080000000000002
1987,2,6,32.525,24.825,0.0,16.04
1987,2,7,32.525,24.825,0.0,16.06
1987,2,8,32.525,24.825,0.0,15.84
1987,2,9,32.525,24.825,0.0,15.94
1987,2,10,32.525,24.825,0.0,15.9
1987,2,11,32.525,24.825,0.0,15.83
1987,2,12,32.525,24.825,0.0,15.83
1987,2,13,32.525,24.825,0.0,15.620000000000001
1987,2,14,32.525,24.825,0.0,15.71
1987,2,15,32.525,24.825,0.0,16.05
1987,2,16,32.525,24.825,0.0,15.98
1987,2,17,32.525,24.825,0.0,15.85
1987,2,18,32.525,24.825,0.0,15.81
1987,2,19,32.525,24.825,0.0,16.12
1987,2,20,32.525,24.825,0.0,16.240000000000002
1987,2,21,32.525,24.825,0.0,15.8
1987,2,22,32.525,24.825,0.0,15.67
1987,2,23,32.525,24.825,0.0,15.9
1987,2,24,32.525,24.825,0.0,16.14
1987,2,25,32.525,24.825,0.0,16.19
1987,2,26,32.525,24.825,0.0,16.09
1987,2,27,32.525,24.825,0.0,15.84
1987,2,28,32.525,24.825,0.0,15.870000000000001
1987,3,1,32.525,24.825,0.0,15.75
1987,3,2,32.525,24.825,0.0,15.49
1987,3,3,32.525,24.825,0.0,15.620000000000001
1987,3,4,32.525,24.825,0.0,15.610000000000001
1987,3,5,32.525,24.825,0.0,15.82
1987,3,6,32.525,24.825,0.0,15.73
1987,3,7,32.525,24.825,0.0,15.56
1987,3,8,32.525,24.825,0.0,15.52
1987,3,9,32.525,24.825,0.0,15.200000000000001
1987,3,10,32.525,24.825,0.0,15.0
1987,3,11,32.525,24.825,0.0,15.0
1987,3,12,32.525,24.825,0.0,15.15
1987,3,13,32.525,24.825,0.0,14.69
1987,3,14,32.525,24.825,0.0,14.81
1987,3,15,32.525,24.825,0.0,15.36
1987,3,16,32.525,24.825,0.0,15.540000000000001
1987,3,17,32.525,24.825,0.0,15.1
1987,3,18,32.525,24.825,0.0,15.040000000000001
1987,3,19,32.525,24.825,0.0,14.81
1987,3,20,32.525,24.825,0.0,15.17
1987,3,21,32.525,24.825,0.0,15.280000000000001
1987,3,22,32.525,24.825,0.0,15.49
1987,3,23,32.525,24.825,0.0,15.85
1987,3,24,32.525,24.825,0.0,16.080000000000002
1987,3,25,32.525,24.825,0.0,15.51
1987,3,26,32.525,24.825,0.0,15.15
1987,3,27,32.525,24.825,0.0,15.3
1987,3,28,32.525,24.825,0.0,15.65
1987,3,29,32.525,24.825,0.0,15.55
1987,3,30,32.525,24.825,0.0,15.450000000000001
1987,3,31,32.525,24.825,0.0,15.620000000000001
1987,4,1,32.525,24.825,0.0,15.81
1987,4,2,32.525,24.825,0.0,15.97
1987,4,3,32.525,24.825,0.0,16.06
1987,4,4,32.525,24.825,0.0,16.01
1987,4,5,32.525,24.825,0.0,16.13
1987,4,6,32.525,24.825,0.0,16.32
1987,4,7,32.525,24.825,0.0,16.42
1987,4,8,32.525,24.825,0.0,16.16
1987,4,9,32.525,24.825,0.0,15.8
1987,4,10,32.525,24.825,0.0,16.080000000000002
1987,4,11,32.525,24.825,0.0,15.85
1987,4,12,32.525,24.825,0.0,15.65
1987,4,13,32.525,24.825,0.0,15.530000000000001
1987,4,14,32.525,24.825,0.0,15.610000000000001
1987,4,15,32.525,24.825,0.0,15.860000000000001
1987,4,16,32.525,24.825,0.0,16.3
1987,4,17,32.525,24.825,0.0,16.65
1987,4,18,32.525,24.825,0.0,16.43
1987,4,19,32.525,24.825,0.0,16.3
1987,4,20,32.525,24.825,0.0,16.27
1987,4,21,32.525,24.825,0.0,16.45
1987,4,22,32.525,24.825,0.0,16.490000000000002
1987,4,23,32.525,24.825,0.0,16.92
1987,4,24,32.525,24.825,0.0,16.88
1987,4,25,32.525,24.825,0.0,16.53
1987,4,26,32.525,24.825,0.0,16.4
1987,4,27,32.525,24.825,0.0,16.36
1987,4,28,32.525,24.825,0.0,16.490000000000002
1987,4,29,32.525,24.825,0.0,16.66
1987,4,30,32.525,24.825,0.0,16.26
1987,5,1,32.525,24.825,0.0,16.36
1987,5,2,32.525,24.825,0.0,16.54
1987,5,3,32.525,24.825,0.0,16.3
1987,5,4,32.525,24.825,0.0,16.8
1987,5,5,32.525,24.825,0.0,16.77
1987,5,6,32.525,24.825,0.0,17.57
1987,5,7,32.525,24.825,0.0,17.01
1987,5,8,32.525,24.825,0.0,16.68
1987,5,9,32.525,24.825,0.0,16.81
1987,5,10,32.525,24.825,0.0,16.9
1987,5,11,32.525,24.825,0.0,16.71
1987,5,12,32.525,24.825,0.0,16.86
1987,5,13,32.525,24.825,0.0,17.32
1987,5,14,32.525,24.825,0.0,17.03
1987,5,15,32.525,24.825,0.0,17.2
1987,5,16,32.525,24.825,0.0,17.330000000000002
1987,5,17,32.525,24.825,0.0,17.2
1987,5,18,32.525,24.825,0.0,17.18
1987,5,19,32.525,24.825,0.0,17.29
1987,5,20,32.525,24.825,0.0,17.52
1987,5,21,32.525,24.825,0.0,17.8
1987,5,22,32.525,24.825,0.0,18.02
1987,5,23,32.525,24.825,0.0,18.22
1987,5,24,32.525,24.825,0.0,18.3
1987,5,25,32.525,24.825,0.0,18.95
1987,5,26,32.525,24.825,0.0,18.580000000000002
1987,5,27,32.525,24.825,0.0,18.69
1987,5,28,32.525,24.825,0.0,18.69
1987,5,29,32.525,24.825,0.0,18.87
1987,5,30,32.525,24.825,0.0,19.490000000000002
1987,5,31,32.525,24.825,0.0,19.400000000000002
1987,6,1,32.525,24.825,0.0,20.240000000000002
1987,6,2,32.525,24.825,0.0,20.76
1987,6,3,32.525,24.825,0.0,20.64
1987,6,4,32.525,24.825,0.0,19.990000000000002
1987,6,5,32.525,24.825,0.0,19.67
1987,6,6,32.525,24.825,0.0,19.86
1987,6,7,32.525,24.825,0.0,20.06
1987,6,8,32.525,24.825,0.0,20.16
1987,6,9,32.525,24.825,0.0,19.77
1987,6,10,32.525,24.825,0.0,20.990000000000002
1987,6,11,32.525,24.825,0.0,20.86
1987,6,12,32.525,24.825,0.0,21.150000000000002
1987,6,13,32.525,24.825,0.0,21.05
1987,6,14,32.525,24.825,0.0,21.37
1987,6,15,32.525,24.825,0.0,22.14
1987,6,16,32.525,24.825,0.0,22.52
1987,6,17,32.525,24.825,0.0,22.490000000000002
1987,6,18,32.525,24.825,0.0,21.68
1987,6,19,32.525,24.825,0.0,21.19
1987,6,20,32.525,24.825,0.0,21.89
1987,6,21,32.525,24.825,0.0,21.94
1987,6,22,32.525,24.825,0.0,22.54
1987,6,23,32.525,24.825,0.0,22.6
1987,6,24,32.525,24.825,0.0,22.25
1987,6,25,32.525,24.825,0.0,22.04
1987,6,26,32.525,24.825,0.0,22.1
1987,6,27,32.525,24.825,0.0,22.34
