year,month,day,latitude,longitude,dhw,sst
2022,1,1,8.575,119.575,0.0,28.060000000000002
2022,1,2,8.575,119.575,0.0,28.3
2022,1,3,8.575,119.575,0.0,27.830000000000002
2022,1,4,8.575,119.575,0.0,27.96
2022,1,5,8.575,119.575,0.0,28.12
2022,1,6,8.575,119.575,0.0,28.02
2022,1,7,8.575,119.575,0.0,27.77
2022,1,8,8.575,119.575,0.0,27.72
2022,1,9,8.575,119.575,0.0,27.95
2022,1,10,8.575,119.575,0.0,27.93
2022,1,11,8.575,119.575,0.0,27.72
2022,1,12,8.575,119.575,0.0,27.71
2022,1,13,8.575,119.575,0.0,27.59
2022,1,14,8.575,119.575,0.0,27.77
2022,1,15,8.575,119.575,0.0,27.64
2022,1,16,8.575,119.575,0.0,27.63
2022,1,17,8.575,119.575,0.0,27.52
2022,1,18,8.575,119.575,0.0,27.64
2022,1,19,8.575,119.575,0.0,27.54
2022,1,20,8.575,119.575,0.0,27.560000000000002
2022,1,21,8.575,119.575,0.0,27.59
2022,1,22,8.575,119.575,0.0,27.29
2022,1,23,8.575,119.575,0.0,27.75
2022,1,24,8.575,119.575,0.0,27.68
2022,1,25,8.575,119.575,0.0,28.1
2022,1,26,8.575,119.575,0.0,27.76
2022,1,27,8.575,119.575,0.0,27.76
2022,1,28,8.575,119.575,0.0,27.72
2022,1,29,8.575,119.575,0.0,28.12
2022,1,30,8.575,119.575,0.0,28.18
2022,1,31,8.575,119.575,0.0,28.150000000000002
2022,2,1,8.575,119.575,0.0,28.13
2022,2,2,8.575,119.575,0.0,28.17
2022,2,3,8.575,119.575,0.0,28.27
2022,2,4,8.575,119.575,0.0,28.21
2022,2,5,8.575,119.575,0.0,28.17
2022,2,6,8.575,119.575,0.0,28.01
2022,2,7,8.575,119.575,0.0,28.0
2022,2,8,8.575,119.575,0.0,28.04
2022,2,9,8.575,119.575,0.0,28.07
2022,2,10,8.575,119.575,0.0,27.93
2022,2,11,8.575,119.575,0.0,27.91
2022,2,12,8.575,119.575,0.0,27.97
2022,2,13,8.575,119.575,0.0,27.98
2022,2,14,8.575,119.575,0.0,27.93
2022,2,15,8.575,119.575,0.0,27.8
2022,2,16,8.575,119.575,0.0,27.95
2022,2,17,8.575,119.575,0.0,27.94
2022,2,18,8.575,119.575,0.0,28.060000000000002
2022,2,19,8.575,119.575,0.0,27.990000000000002
2022,2,20,8.575,119.575,0.0,28.02
2022,2,21,8.575,119.575,0.0,28.41
2022,2,22,8.575,119.575,0.0,27.95
2022,2,23,8.575,119.575,0.0,28.03
2022,2,24,8.575,119.575,0.0,28.0
2022,2,25,8.575,119.575,0.0,28.13
2022,2,26,8.575,119.575,0.0,28.0
2022,2,27,8.575,119.575,0.0,28.12
2022,2,28,8.575,119.575,0.0,27.93
2022,3,1,8.575,119.575,0.0,27.94
2022,3,2,8.575,119.575,0.0,27.93
2022,3,3,8.575,119.575,0.0,27.86
2022,3,4,8.575,119.575,0.0,27.900000000000002
2022,3,5,8.575,119.575,0.0,27.98
2022,3,6,8.575,119.575,0.0,28.04
2022,3,7,8.575,119.575,0.0,27.97
2022,3,8,8.575,119.575,0.0,27.88
2022,3,9,8.575,119.575,0.0,27.740000000000002
2022,3,10,8.575,119.575,0.0,27.89
2022,3,11,8.575,119.575,0.0,28.14
