time,latitude,longitude,CRW_DHW,CRW_SST
UTC,degrees_north,degrees_east,Celsius weeks,Celsius
1985-03-25T12:00:00Z,-18.174997,147.42499,1.51,28.55
1985-03-26T12:00:00Z,-18.174997,147.42499,1.51,28.51
1985-03-27T12:00:00Z,-18.174997,147.42499,1.51,28.14
1985-03-28T12:00:00Z,-18.174997,147.42499,1.51,27.87
1985-03-29T12:00:00Z,-18.174997,147.42499,1.51,27.72
1985-03-30T12:00:00Z,-18.174997,147.42499,1.51,27.63
1985-03-31T12:00:00Z,-18.174997,147.42499,1.51,27.59
1985-04-01T12:00:00Z,-18.174997,147.42499,1.51,27.55
1985-04-02T12:00:00Z,-18.174997,147.42499,1.51,27.490000000000002
1985-04-03T12:00:00Z,-18.174997,147.42499,1.51,27.47
1985-04-04T12:00:00Z,-18.174997,147.42499,1.51,27.86
1985-04-05T12:00:00Z,-18.174997,147.42499,1.51,27.810000000000002
1985-04-06T12:00:00Z,-18.174997,147.42499,1.51,27.8
1985-04-07T12:00:00Z,-18.174997,147.42499,1.51,27.93
1985-04-08T12:00:00Z,-18.174997,147.42499,1.51,27.95
1985-04-09T12:00:00Z,-18.174997,147.42499,1.51,27.86
1985-04-10T12:00:00Z,-18.174997,147.42499,1.51,27.67
1985-04-11T12:00:00Z,-18.174997,147.42499,1.51,28.57
1985-04-12T12:00:00Z,-18.174997,147.42499,1.51,27.12
1985-04-13T12:00:00Z,-18.174997,147.42499,1.51,26.96
1985-04-14T12:00:00Z,-18.174997,147.42499,1.51,26.82
1985-04-15T12:00:00Z,-18.174997,147.42499,1.51,27.55
1985-04-16T12:00:00Z,-18.174997,147.42499,1.51,28.150000000000002
1985-04-17T12:00:00Z,-18.174997,147.42499,1.51,28.79
1985-04-18T12:00:00Z,-18.174997,147.42499,1.51,29.22
1985-04-19T12:00:00Z,-18.174997,147.42499,1.51,29.07
1985-04-20T12:00:00Z,-18.174997,147.42499,1.51,28.59
1985-04-21T12:00:00Z,-18.174997,147.42499,1.51,28.240000000000002
1985-04-22T12:00:00Z,-18.174997,147.42499,1.51,28.0
1985-04-23T12:00:00Z,-18.174997,147.42499,1.51,27.66
1985-04-24T12:00:00Z,-18.174997,147.42499,1.51,27.55
1985-04-25T12:00:00Z,-18.174997,147.42499,1.51,27.32
1985-04-26T12:00:00Z,-18.174997,147.42499,1.51,27.07
1985-04-27T12:00:00Z,-18.174997,147.42499,1.51,26.96
1985-04-28T12:00:00Z,-18.174997,147.42499,1.51,26.95
1985-04-29T12:00:00Z,-18.174997,147.42499,1.51,26.97
1985-04-30T12:00:00Z,-18.174997,147.42499,1.51,26.98
1985-05-01T12:00:00Z,-18.174997,147.42499,1.51,27.01
1985-05-02T12:00:00Z,-18.174997,147.42499,1.51,27.0
1985-05-03T12:00:00Z,-18.174997,147.42499,1.51,27.18
1985-05-04T12:00:00Z,-18.174997,147.42499,1.51,27.34
1985-05-05T12:00:00Z,-18.174997,147.42499,1.51,27.51
1985-05-06T12:00:00Z,-18.174997,147.42499,1.51,27.17
1985-05-07T12:00:00Z,-18.174997,147.42499,1.51,26.740000000000002
1985-05-08T12:00:00Z,-18.174997,147.42499,1.51,26.54
1985-05-09T12:00:00Z,-18.174997,147.42499,1.51,26.19
1985-05-10T12:00:00Z,-18.174997,147.42499,1.51,25.97
1985-05-11T12:00:00Z,-18.174997,147.42499,1.51,26.490000000000002
1985-05-12T12:00:00Z,-18.174997,147.42499,1.51,26.22
1985-05-13T12:00:00Z,-18.174997,147.42499,1.51,25.85
1985-05-14T12:00:00Z,-18.174997,147.42499,1.51,25.53
1985-05-15T12:00:00Z,-18.174997,147.42499,1.51,25.45
1985-05-16T12:00:00Z,-18.174997,147.42499,1.51,25.51
1985-05-17T12:00:00Z,-18.174997,147.42499,1.51,25.64
1985-05-18T12:00:00Z,-18.174997,147.42499,1.51,25.66
1985-05-19T12:00:00Z,-18.174997,147.42499,1.51,25.580000000000002
1985-05-20T12:00:00Z,-18.174997,147.42499,1.51,25.48
1985-05-21T12:00:00Z,-18.174997,147.42499,1.51,25.37
1985-05-22T12:00:00Z,-18.174997,147.42499,1.51,25.18
1985-05-23T12:00:00Z,-18.174997,147.42499,1.51,25.310000000000002
1985-05-24T12:00:00Z,-18.174997,147.42499,1.51,25.26
1985-05-25T12:00:00Z,-18.174997,147.42499,1.51,25.2
1985-05-26T12:00:00Z,-18.174997,147.42499,1.51,25.09
1985-05-27T12:00:00Z,-18.174997,147.42499,1.3,24.98
1985-05-28T12:00:00Z,-18.174997,147.42499,1.09,25.01
1985-05-29T12:00:00Z,-18.174997,147.42499,0.87,24.69
1985-05-30T12:00:00Z,-18.174997,147.42499,0.63,24.22
1985-05-31T12:00:00Z,-18.174997,147.42499,0.44,24.29
1985-06-01T12:00:00Z,-18.174997,147.42499,0.3,24.84
1985-06-02T12:00:00Z,-18.174997,147.42499,0.3,25.42
1985-06-03T12:00:00Z,-18.174997,147.42499,0.3,25.5
1985-06-04T12:00:00Z,-18.174997,147.42499,0.3,25.580000000000002
1985-06-05T12:00:00Z,-18.174997,147.42499,0.3,25.52
1985-06-06T12:00:00Z,-18.174997,147.42499,0.3,24.96
1985-06-07T12:00:00Z,-18.174997,147.42499,0.3,24.92
1985-06-08T12:00:00Z,-18.174997,147.42499,0.15,25.52
1985-06-09T12:00:00Z,-18.174997,147.42499,0.0,25.68
1985-06-10T12:00:00Z,-18.174997,147.42499,0.0,25.17
1985-06-11T12:00:00Z,-18.174997,147.42499,0.0,24.63
1985-06-12T12:00:00Z,-18.174997,147.42499,0.0,24.14
1985-06-13T12:00:00Z,-18.174997,147.42499,0.0,24.02
1985-06-14T12:00:00Z,-18.174997,147.42499,0.0,24.07
1985-06-15T12:00:00Z,-18.174997,147.42499,0.0,23.88
1985-06-16T12:00:00Z,-18.174997,147.42499,0.0,23.53
1985-06-17T12:00:00Z,-18.174997,147.42499,0.0,23.69
1985-06-18T12:00:00Z,-18.174997,147.42499,0.0,23.77
1985-06-19T12:00:00Z,-18.174997,147.42499,0.0,24.060000000000002
1985-06-20T12:00:00Z,-18.174997,147.42499,0.0,23.59
1985-06-21T12:00:00Z,-18.174997,147.42499,0.0,23.61
1985-06-22T12:00:00Z,-18.174997,147.42499,0.0,23.51
1985-06-23T12:00:00Z,-18.174997,147.42499,0.0,23.71
1985-06-24T12:00:00Z,-18.174997,147.42499,0.0,24.060000000000002
1985-06-25T12:00:00Z,-18.174997,147.42499,0.0,23.96
1985-06-26T12:00:00Z,-18.174997,147.42499,0.0,22.51
1985-06-27T12:00:00Z,-18.174997,147.42499,0.0,22.46
1985-06-28T12:00:00Z,-18.174997,147.42499,0.0,22.92
