time,latitude,longitude,CRW_DHW,CRW_SST
UTC,degrees_north,degrees_east,Celsius weeks,Celsius
2015-01-01T12:00:00Z,-20.225,164.325,0.0,27.69
2015-01-02T12:00:00Z,-20.225,164.325,0.0,27.43
2015-01-03T12:00:00Z,-20.225,164.325,0.0,27.45
2015-01-04T12:00:00Z,-20.225,164.325,0.0,27.44
2015-01-05T12:00:00Z,-20.225,164.325,0.0,27.27
2015-01-06T12:00:00Z,-20.225,164.325,0.0,27.23
2015-01-07T12:00:00Z,-20.225,164.325,0.0,27.13
2015-01-08T12:00:00Z,-20.225,164.325,0.0,27.36
2015-01-09T12:00:00Z,-20.225,164.325,0.0,27.43
2015-01-10T12:00:00Z,-20.225,164.325,0.0,27.67
2015-01-11T12:00:00Z,-20.225,164.325,0.0,27.61
2015-01-12T12:00:00Z,-20.225,164.325,0.0,27.51
2015-01-13T12:00:00Z,-20.225,164.325,0.0,27.42
2015-01-14T12:00:00Z,-20.225,164.325,0.0,27.400000000000002
2015-01-15T12:00:00Z,-20.225,164.325,0.0,27.89
2015-01-16T12:00:00Z,-20.225,164.325,0.0,28.07
2015-01-17T12:00:00Z,-20.225,164.325,0.0,28.26
2015-01-18T12:00:00Z,-20.225,164.325,0.0,28.63
2015-01-19T12:00:00Z,-20.225,164.325,0.0,28.26
2015-01-20T12:00:00Z,-20.225,164.325,0.0,28.0
2015-01-21T12:00:00Z,-20.225,164.325,0.0,27.61
2015-01-22T12:00:00Z,-20.225,164.325,0.0,27.89
2015-01-23T12:00:00Z,-20.225,164.325,0.0,28.22
2015-01-24T12:00:00Z,-20.225,164.325,0.0,28.62
2015-01-25T12:00:00Z,-20.225,164.325,0.0,28.57
2015-01-26T12:00:00Z,-20.225,164.325,0.0,28.8
2015-01-27T12:00:00Z,-20.225,164.325,0.0,28.580000000000002
2015-01-28T12:00:00Z,-20.225,164.325,0.0,28.73
2015-01-29T12:00:00Z,-20.225,164.325,0.15,29.03
2015-01-30T12:00:00Z,-20.225,164.325,0.15,28.93
2015-01-31T12:00:00Z,-20.225,164.325,0.15,28.560000000000002
2015-02-01T12:00:00Z,-20.225,164.325,0.15,28.3
2015-02-02T12:00:00Z,-20.225,164.325,0.15,28.060000000000002
2015-02-03T12:00:00Z,-20.225,164.325,0.15,28.51
2015-02-04T12:00:00Z,-20.225,164.325,0.15,28.29
2015-02-05T12:00:00Z,-20.225,164.325,0.15,28.46
2015-02-06T12:00:00Z,-20.225,164.325,0.15,28.6
2015-02-07T12:00:00Z,-20.225,164.325,0.15,28.64
2015-02-08T12:00:00Z,-20.225,164.325,0.15,28.59
2015-02-09T12:00:00Z,-20.225,164.325,0.15,28.61
2015-02-10T12:00:00Z,-20.225,164.325,0.15,28.59
2015-02-11T12:00:00Z,-20.225,164.325,0.15,28.54
2015-02-12T12:00:00Z,-20.225,164.325,0.15,28.71
2015-02-13T12:00:00Z,-20.225,164.325,0.15,28.55
2015-02-14T12:00:00Z,-20.225,164.325,0.15,27.63
2015-02-15T12:00:00Z,-20.225,164.325,0.15,27.42
2015-02-16T12:00:00Z,-20.225,164.325,0.15,27.37
2015-02-17T12:00:00Z,-20.225,164.325,0.15,27.67
2015-02-18T12:00:00Z,-20.225,164.325,0.15,27.93
2015-02-19T12:00:00Z,-20.225,164.325,0.15,28.8
2015-02-20T12:00:00Z,-20.225,164.325,0.15,28.41
2015-02-21T12:00:00Z,-20.225,164.325,0.15,28.51
2015-02-22T12:00:00Z,-20.225,164.325,0.15,28.560000000000002
2015-02-23T12:00:00Z,-20.225,164.325,0.15,28.560000000000002
2015-02-24T12:00:00Z,-20.225,164.325,0.15,28.67
2015-02-25T12:00:00Z,-20.225,164.325,0.15,28.87
2015-02-26T12:00:00Z,-20.225,164.325,0.31,29.02
2015-02-27T12:00:00Z,-20.225,164.325,0.31,28.87
2015-02-28T12:00:00Z,-20.225,164.325,0.49,29.21
2015-03-01T12:00:00Z,-20.225,164.325,0.6900000000000001,29.36
2015-03-02T12:00:00Z,-20.225,164.325,0.9,29.46
2015-03-03T12:00:00Z,-20.225,164.325,1.1400000000000001,29.63
2015-03-04T12:00:00Z,-20.225,164.325,1.4000000000000001,29.71
2015-03-05T12:00:00Z,-20.225,164.325,1.67,29.87
2015-03-06T12:00:00Z,-20.225,164.325,1.9100000000000001,29.63
2015-03-07T12:00:00Z,-20.225,164.325,2.1,29.29
2015-03-08T12:00:00Z,-20.225,164.325,2.29,29.26
2015-03-09T12:00:00Z,-20.225,164.325,2.44,29.04
2015-03-10T12:00:00Z,-20.225,164.325,2.44,28.8
2015-03-11T12:00:00Z,-20.225,164.325,2.44,28.67
2015-03-12T12:00:00Z,-20.225,164.325,2.44,28.8
2015-03-13T12:00:00Z,-20.225,164.325,2.44,28.7
2015-03-14T12:00:00Z,-20.225,164.325,2.44,28.82
2015-03-15T12:00:00Z,-20.225,164.325,2.44,28.78
2015-03-16T12:00:00Z,-20.225,164.325,2.44,28.71
2015-03-17T12:00:00Z,-20.225,164.325,2.44,28.72
2015-03-18T12:00:00Z,-20.225,164.325,2.44,28.47
2015-03-19T12:00:00Z,-20.225,164.325,2.44,28.3
2015-03-20T12:00:00Z,-20.225,164.325,2.44,28.38
2015-03-21T12:00:00Z,-20.225,164.325,2.44,28.330000000000002
2015-03-22T12:00:00Z,-20.225,164.325,2.44,28.3
2015-03-23T12:00:00Z,-20.225,164.325,2.44,28.27
2015-03-24T12:00:00Z,-20.225,164.325,2.44,27.98
2015-03-25T12:00:00Z,-20.225,164.325,2.44,27.96
2015-03-26T12:00:00Z,-20.225,164.325,2.44,28.01
2015-03-27T12:00:00Z,-20.225,164.325,2.44,27.990000000000002
2015-03-28T12:00:00Z,-20.225,164.325,2.44,27.94
2015-03-29T12:00:00Z,-20.225,164.325,2.44,27.830000000000002
2015-03-30T12:00:00Z,-20.225,164.325,2.44,27.76
2015-03-31T12:00:00Z,-20.225,164.325,2.44,27.63
2015-04-01T12:00:00Z,-20.225,164.325,2.44,27.61
2015-04-02T12:00:00Z,-20.225,164.325,2.44,27.42
2015-04-03T12:00:00Z,-20.225,164.325,2.44,27.75
2015-04-04T12:00:00Z,-20.225,164.325,2.44,27.71
2015-04-05T12:00:00Z,-20.225,164.325,2.44,27.6
2015-04-06T12:00:00Z,-20.225,164.325,2.44,27.5
2015-04-07T12:00:00Z,-20.225,164.325,2.44,27.37
2015-04-08T12:00:00Z,-20.225,164.325,2.44,27.38
2015-04-09T12:00:00Z,-20.225,164.325,2.44,27.29
2015-04-10T12:00:00Z,-20.225,164.325,2.44,27.19
2015-04-11T12:00:00Z,-20.225,164.325,2.44,26.98
2015-04-12T12:00:00Z,-20.225,164.325,2.44,26.98
2015-04-13T12:00:00Z,-20.225,164.325,2.44,26.75
2015-04-14T12:00:00Z,-20.225,164.325,2.44,26.650000000000002
2015-04-15T12:00:00Z,-20.225,164.325,2.44,26.57
2015-04-16T12:00:00Z,-20.225,164.325,2.44,26.580000000000002
2015-04-17T12:00:00Z,-20.225,164.325,2.44,26.47
2015-04-18T12:00:00Z,-20.225,164.325,2.44,26.19
2015-04-19T12:00:00Z,-20.225,164.325,2.44,25.95
2015-04-20T12:00:00Z,-20.225,164.325,2.44,26.39
2015-04-21T12:00:00Z,-20.225,164.325,2.44,26.53
2015-04-22T12:00:00Z,-20.225,164.325,2.44,26.36
2015-04-23T12:00:00Z,-20.225,164.325,2.29,26.54
2015-04-24T12:00:00Z,-20.225,164.325,2.29,26.54
2015-04-25T12:00:00Z,-20.225,164.325,2.29,26.330000000000002
2015-04-26T12:00:00Z,-20.225,164.325,2.29,26.53
2015-04-27T12:00:00Z,-20.225,164.325,2.29,26.69
2015-04-28T12:00:00Z,-20.225,164.325,2.29,26.52
2015-04-29T12:00:00Z,-20.225,164.325,2.29,26.18
2015-04-30T12:00:00Z,-20.225,164.325,2.29,26.17
2015-05-01T12:00:00Z,-20.225,164.325,2.29,26.14
2015-05-02T12:00:00Z,-20.225,164.325,2.29,26.18
2015-05-03T12:00:00Z,-20.225,164.325,2.29,26.29
2015-05-04T12:00:00Z,-20.225,164.325,2.29,26.3
2015-05-05T12:00:00Z,-20.225,164.325,2.29,26.25
2015-05-06T12:00:00Z,-20.225,164.325,2.29,26.22
2015-05-07T12:00:00Z,-20.225,164.325,2.29,26.27
2015-05-08T12:00:00Z,-20.225,164.325,2.29,26.22
2015-05-09T12:00:00Z,-20.225,164.325,2.29,26.39
2015-05-10T12:00:00Z,-20.225,164.325,2.29,26.42
2015-05-11T12:00:00Z,-20.225,164.325,2.29,26.28
2015-05-12T12:00:00Z,-20.225,164.325,2.29,26.39
2015-05-13T12:00:00Z,-20.225,164.325,2.29,26.39
2015-05-14T12:00:00Z,-20.225,164.325,2.29,26.26
2015-05-15T12:00:00Z,-20.225,164.325,2.29,26.21
2015-05-16T12:00:00Z,-20.225,164.325,2.29,26.3
2015-05-17T12:00:00Z,-20.225,164.325,2.29,26.28
2015-05-18T12:00:00Z,-20.225,164.325,2.29,26.080000000000002
2015-05-19T12:00:00Z,-20.225,164.325,2.29,25.94
2015-05-20T12:00:00Z,-20.225,164.325,2.29,25.96
2015-05-21T12:00:00Z,-20.225,164.325,2.14,25.96
2015-05-22T12:00:00Z,-20.225,164.325,2.14,25.92
2015-05-23T12:00:00Z,-20.225,164.325,1.96,26.02
2015-05-24T12:00:00Z,-20.225,164.325,1.76,26.02
2015-05-25T12:00:00Z,-20.225,164.325,1.54,25.900000000000002
2015-05-26T12:00:00Z,-20.225,164.325,1.3,25.830000000000002
2015-05-27T12:00:00Z,-20.225,164.325,1.05,25.830000000000002
2015-05-28T12:00:00Z,-20.225,164.325,0.77,25.67
2015-05-29T12:00:00Z,-20.225,164.325,0.53,25.560000000000002
2015-05-30T12:00:00Z,-20.225,164.325,0.34,25.41
2015-05-31T12:00:00Z,-20.225,164.325,0.16,25.240000000000002
2015-06-01T12:00:00Z,-20.225,164.325,0.0,25.560000000000002
2015-06-02T12:00:00Z,-20.225,164.325,0.0,25.650000000000002
2015-06-03T12:00:00Z,-20.225,164.325,0.0,25.48
2015-06-04T12:00:00Z,-20.225,164.325,0.0,25.23
2015-06-05T12:00:00Z,-20.225,164.325,0.0,25.12
2015-06-06T12:00:00Z,-20.225,164.325,0.0,25.3
2015-06-07T12:00:00Z,-20.225,164.325,0.0,25.04
2015-06-08T12:00:00Z,-20.225,164.325,0.0,25.060000000000002
2015-06-09T12:00:00Z,-20.225,164.325,0.0,24.91
2015-06-10T12:00:00Z,-20.225,164.325,0.0,25.02
2015-06-11T12:00:00Z,-20.225,164.325,0.0,25.01
2015-06-12T12:00:00Z,-20.225,164.325,0.0,24.94
2015-06-13T12:00:00Z,-20.225,164.325,0.0,24.97
2015-06-14T12:00:00Z,-20.225,164.325,0.0,25.17
2015-06-15T12:00:00Z,-20.225,164.325,0.0,25.11
2015-06-16T12:00:00Z,-20.225,164.325,0.0,24.91
2015-06-17T12:00:00Z,-20.225,164.325,0.0,24.78
2015-06-18T12:00:00Z,-20.225,164.325,0.0,24.68
2015-06-19T12:00:00Z,-20.225,164.325,0.0,24.86
2015-06-20T12:00:00Z,-20.225,164.325,0.0,24.77
2015-06-21T12:00:00Z,-20.225,164.325,0.0,24.82
2015-06-22T12:00:00Z,-20.225,164.325,0.0,24.69
2015-06-23T12:00:00Z,-20.225,164.325,0.0,24.68
2015-06-24T12:00:00Z,-20.225,164.325,0.0,24.560000000000002
2015-06-25T12:00:00Z,-20.225,164.325,0.0,24.3
2015-06-26T12:00:00Z,-20.225,164.325,0.0,24.26
2015-06-27T12:00:00Z,-20.225,164.325,0.0,24.35
2015-06-28T12:00:00Z,-20.225,164.325,0.0,24.38
2015-06-29T12:00:00Z,-20.225,164.325,0.0,24.37
2015-06-30T12:00:00Z,-20.225,164.325,0.0,24.18
2015-07-01T12:00:00Z,-20.225,164.325,0.0,24.04
2015-07-02T12:00:00Z,-20.225,164.325,0.0,24.080000000000002
2015-07-03T12:00:00Z,-20.225,164.325,0.0,23.78
2015-07-04T12:00:00Z,-20.225,164.325,0.0,23.86
2015-07-05T12:00:00Z,-20.225,164.325,0.0,23.85
2015-07-06T12:00:00Z,-20.225,164.325,0.0,23.88
2015-07-07T12:00:00Z,-20.225,164.325,0.0,24.0
2015-07-08T12:00:00Z,-20.225,164.325,0.0,23.97
2015-07-09T12:00:00Z,-20.225,164.325,0.0,24.19
2015-07-10T12:00:00Z,-20.225,164.325,0.0,23.84
2015-07-11T12:00:00Z,-20.225,164.325,0.0,23.87
2015-07-12T12:00:00Z,-20.225,164.325,0.0,23.89
2015-07-13T12:00:00Z,-20.225,164.325,0.0,23.81
2015-07-14T12:00:00Z,-20.225,164.325,0.0,23.91
2015-07-15T12:00:00Z,-20.225,164.325,0.0,23.91
2015-07-16T12:00:00Z,-20.225,164.325,0.0,23.86
2015-07-17T12:00:00Z,-20.225,164.325,0.0,23.85
2015-07-18T12:00:00Z,-20.225,164.325,0.0,23.8
2015-07-19T12:00:00Z,-20.225,164.325,0.0,23.85
2015-07-20T12:00:00Z,-20.225,164.325,0.0,23.67
2015-07-21T12:00:00Z,-20.225,164.325,0.0,23.63
2015-07-22T12:00:00Z,-20.225,164.325,0.0,23.490000000000002
2015-07-23T12:00:00Z,-20.225,164.325,0.0,23.76
2015-07-24T12:00:00Z,-20.225,164.325,0.0,23.72
2015-07-25T12:00:00Z,-20.225,164.325,0.0,23.67
2015-07-26T12:00:00Z,-20.225,164.325,0.0,23.830000000000002
2015-07-27T12:00:00Z,-20.225,164.325,0.0,23.82
2015-07-28T12:00:00Z,-20.225,164.325,0.0,23.79
2015-07-29T12:00:00Z,-20.225,164.325,0.0,23.68
2015-07-30T12:00:00Z,-20.225,164.325,0.0,23.580000000000002
2015-07-31T12:00:00Z,-20.225,164.325,0.0,23.63
2015-08-01T12:00:00Z,-20.225,164.325,0.0,23.580000000000002
2015-08-02T12:00:00Z,-20.225,164.325,0.0,23.72
2015-08-03T12:00:00Z,-20.225,164.325,0.0,23.73
2015-08-04T12:00:00Z,-20.225,164.325,0.0,23.75
2015-08-05T12:00:00Z,-20.225,164.325,0.0,24.05
2015-08-06T12:00:00Z,-20.225,164.325,0.0,23.95
2015-08-07T12:00:00Z,-20.225,164.325,0.0,23.900000000000002
2015-08-08T12:00:00Z,-20.225,164.325,0.0,23.7
2015-08-09T12:00:00Z,-20.225,164.325,0.0,23.490000000000002
2015-08-10T12:00:00Z,-20.225,164.325,0.0,23.66
2015-08-11T12:00:00Z,-20.225,164.325,0.0,23.53
2015-08-12T12:00:00Z,-20.225,164.325,0.0,23.63
2015-08-13T12:00:00Z,-20.225,164.325,0.0,23.45
2015-08-14T12:00:00Z,-20.225,164.325,0.0,23.62
2015-08-15T12:00:00Z,-20.225,164.325,0.0,23.81
