time,latitude,longitude,CRW_DHW,CRW_SST
UTC,degrees_north,degrees_east,Celsius weeks,Celsius
2011-01-01T12:00:00Z,-18.174997,147.42499,1.19,28.900000000000002
2011-01-02T12:00:00Z,-18.174997,147.42499,1.19,28.84
2011-01-03T12:00:00Z,-18.174997,147.42499,1.19,29.09
2011-01-04T12:00:00Z,-18.174997,147.42499,1.19,29.060000000000002
2011-01-05T12:00:00Z,-18.174997,147.42499,1.19,29.07
2011-01-06T12:00:00Z,-18.174997,147.42499,1.19,29.44
2011-01-07T12:00:00Z,-18.174997,147.42499,1.19,29.41
2011-01-08T12:00:00Z,-18.174997,147.42499,1.35,29.63
2011-01-09T12:00:00Z,-18.174997,147.42499,1.53,29.740000000000002
2011-01-10T12:00:00Z,-18.174997,147.42499,1.73,29.94
2011-01-11T12:00:00Z,-18.174997,147.42499,1.88,29.53
2011-01-12T12:00:00Z,-18.174997,147.42499,2.03,29.560000000000002
2011-01-13T12:00:00Z,-18.174997,147.42499,2.03,29.47
2011-01-14T12:00:00Z,-18.174997,147.42499,2.03,29.3
2011-01-15T12:00:00Z,-18.174997,147.42499,2.03,28.95
2011-01-16T12:00:00Z,-18.174997,147.42499,2.03,29.16
2011-01-17T12:00:00Z,-18.174997,147.42499,2.03,29.46
2011-01-18T12:00:00Z,-18.174997,147.42499,2.18,29.52
2011-01-19T12:00:00Z,-18.174997,147.42499,2.18,29.45
2011-01-20T12:00:00Z,-18.174997,147.42499,2.35,29.69
2011-01-21T12:00:00Z,-18.174997,147.42499,2.49,29.51
2011-01-22T12:00:00Z,-18.174997,147.42499,2.49,29.400000000000002
2011-01-23T12:00:00Z,-18.174997,147.42499,2.49,29.01
2011-01-24T12:00:00Z,-18.174997,147.42499,2.49,29.01
2011-01-25T12:00:00Z,-18.174997,147.42499,2.49,29.02
2011-01-26T12:00:00Z,-18.174997,147.42499,2.49,28.88
2011-01-27T12:00:00Z,-18.174997,147.42499,2.49,28.96
2011-01-28T12:00:00Z,-18.174997,147.42499,2.49,28.990000000000002
2011-01-29T12:00:00Z,-18.174997,147.42499,2.49,28.84
2011-01-30T12:00:00Z,-18.174997,147.42499,2.49,28.76
2011-01-31T12:00:00Z,-18.174997,147.42499,2.49,28.78
2011-02-01T12:00:00Z,-18.174997,147.42499,2.49,28.55
2011-02-02T12:00:00Z,-18.174997,147.42499,2.49,28.57
2011-02-03T12:00:00Z,-18.174997,147.42499,2.49,27.76
2011-02-04T12:00:00Z,-18.174997,147.42499,2.49,27.86
2011-02-05T12:00:00Z,-18.174997,147.42499,2.49,27.91
2011-02-06T12:00:00Z,-18.174997,147.42499,2.49,28.0
2011-02-07T12:00:00Z,-18.174997,147.42499,2.49,28.11
2011-02-08T12:00:00Z,-18.174997,147.42499,2.49,28.13
2011-02-09T12:00:00Z,-18.174997,147.42499,2.49,28.11
2011-02-10T12:00:00Z,-18.174997,147.42499,2.49,28.19
2011-02-11T12:00:00Z,-18.174997,147.42499,2.49,28.25
2011-02-12T12:00:00Z,-18.174997,147.42499,2.49,28.43
2011-02-13T12:00:00Z,-18.174997,147.42499,2.49,28.44
2011-02-14T12:00:00Z,-18.174997,147.42499,2.49,28.41
2011-02-15T12:00:00Z,-18.174997,147.42499,2.49,28.62
2011-02-16T12:00:00Z,-18.174997,147.42499,2.49,28.22
2011-02-17T12:00:00Z,-18.174997,147.42499,2.49,28.27
2011-02-18T12:00:00Z,-18.174997,147.42499,2.49,28.48
2011-02-19T12:00:00Z,-18.174997,147.42499,2.49,28.66
2011-02-20T12:00:00Z,-18.174997,147.42499,2.49,28.86
2011-02-21T12:00:00Z,-18.174997,147.42499,2.49,28.82
2011-02-22T12:00:00Z,-18.174997,147.42499,2.49,28.84
2011-02-23T12:00:00Z,-18.174997,147.42499,2.49,28.64
2011-02-24T12:00:00Z,-18.174997,147.42499,2.49,28.55
2011-02-25T12:00:00Z,-18.174997,147.42499,2.49,28.17
2011-02-26T12:00:00Z,-18.174997,147.42499,2.49,28.19
2011-02-27T12:00:00Z,-18.174997,147.42499,2.49,28.42
2011-02-28T12:00:00Z,-18.174997,147.42499,2.49,28.3
2011-03-01T12:00:00Z,-18.174997,147.42499,2.49,28.330000000000002
2011-03-02T12:00:00Z,-18.174997,147.42499,2.49,28.310000000000002
2011-03-03T12:00:00Z,-18.174997,147.42499,2.49,28.25
2011-03-04T12:00:00Z,-18.174997,147.42499,2.49,28.45
2011-03-05T12:00:00Z,-18.174997,147.42499,2.49,28.39
